question,answer
卫华里(和平)的轨道交通,小区南门左侧距离三号线吴家窑地铁站100米左右，北门左侧距离八里台公交车站50米左右。交通非常方便。
卫华里(和平)的小区设施,小区47号楼门前有社区卫生服务站，占地300平左右，很多居民都可以到这里来就医。
卫华里(和平)的不足之处,小区楼龄老，属于老旧小区  车位紧张
卫华里(和平)的小区户型,卫华里在和平属于大型小区，小区内主打户型为35平米阳面一室和58平米南北两室，楼间距近，低层采光有挡
卫华里(和平)的轨道交通,出小区东走500m就是吴家窑地铁站。200m就是医科大学公交站
卫国道市政楼的生活配套,50米内有生活超市，小区对面100米有长征楼菜市场，2公里内有未来广场，河东万达广场等
卫国道市政楼的小区户型,六层到顶小高层，一梯3户和4户，一室33-40平米，两室52-66平米，
卫国道市政楼的不足之处,小区车位紧张，但没有私自安地锁，有车位就可以停车
卫安中里的小区户型,"卫安中里一共有5个楼,每个楼均七层到顶.主要是以小户型为主.35平-40平"
卫安中里的轨道交通,"小区位置在西马路与黄河道交口.南侧300米出就是地铁1号刘园线通往双林和2号线,"
卫安中里的居民素质,小区居民大多数都是老天津人，邻里之间友好热情。
卫安中里的生活配套,小区东侧50米是天佑城大型购物商场，小区北侧100米是西关街菜市场，生活很便利。
卫安中里的不足之处,"本小区是90年代初建造,房龄较长,因没有地下车位,车辆停在小区内部,停车较紧张,"
卫安中里的小区户型,卫安中里总共5栋楼，都是7层到顶。一室户型面积在36-40平米，两室户型面积在56-61平米
卫安中里的轨道交通,小区南侧300就是地铁1.2号线交汇处西南角站。
卫安中里的不足之处,小区房龄较老，车位不足
卫安中里的小区设施,社区内分部有各种健身器材及老年娱乐设施，又有免费的停车位。
卫安南里的生活配套,西关市场位于北面300米远出门走几步就到了，购物也非常方便天佑城在东面 200米处。
卫安南里的小区户型,房屋南北通透，面积在40~80平，其中以40平以上直门独户型，和两室夹卫生间居多。
卫安南里的小区设施,小区基本实现了人车分流，楼下就是停车位。步行200米就是地铁站
卫安南里的房屋品质,"所属区域南开区广开街，产别：公产,企业产竣工年代：1989年结构：钢混"
卫安南里的不足之处,小区入分两个，有时候会走错入口。
卫安南里的轨道交通,小区下楼100米就是西南角地铁站，1号线2号线都在这停靠。
卫星里(河西)的轨道交通,距小区500米有地铁3号线 吴家窑地铁站
卫星里(河西)的不足之处,小区房龄相对来说比较老旧，车位紧张
卫星里(河西)的小区户型,该小区推的是 小户型 以60平米为主
卫星里(河西)的附近学校,距小区1000米 有 平山道小学，师大附小，上海道小学，
原冰里的不足之处,小区老旧，绿化不足，当初规划不太好，小区比较乱
原冰里的小区户型,分为新原冰里和老原冰里，主要以40平左右的一室，和50-76平的通透两室为主
原冰里的轨道交通,小区临快速路金钟河大街50米，距地铁金钟河大街站150米，距公交站桥园里站50米。
原筑(北区)的生活配套,小区西侧400米是大型公园，西北方向800米是大型商业广场新都汇，西北方向900米是钰华医院。
原筑(北区)的小区户型,小区共计75栋楼，分为四期开发，主要以91平米左右南北通透两室为主。
原筑(北区)的小区设施,小区车位采用地上+地下形式，车位比例达到1:1，院内自带健身广场，健身器材齐全。
原筑(北区)的不足之处,小区车道较宽，车位较多，所以绿化较低。
双安里的小区设施,小区内部有花园，广场，健身设施完善，有超市，存车棚，菜市场，生活方便，可足不出小区满足日常所需
双安里的小区设施,小区52号楼下就是小区的健身广场，各种健身器材都有。
双安里的轨道交通,小区西门直行20米就是公交站牌通市区的161，通塘沽的130，通郊区的548，549，547都在这过
双安里的生活配套,小区西门口就是商业街，有胜利超市，小区门口这边就是世纪广场，小区东门口直行10米，就是大港的大剧院。
双安里的生活配套,距离一商友谊商场200米，距离胜利商业街100米，距离石化医院800米，距离世纪广场50米
双安里的不足之处,小区房龄较老，更换频率高，多为外地租户，绿化较少
双安里的房屋品质,3层到顶房屋为砖混结构，房屋质量过硬，具有抗震，防水，防潮，隔音，隔热等特点
双安里的小区户型,小区共55栋楼，多为56，48，98的两室，71平米的3室，31，40平米的一室。
双安里的小区户型,本小区40㎡一室一厅户型，多为落户客户所需，多为3-5层到顶多层住宅，房屋好出租，更换频率高
双安里的不足之处,小区就是楼龄老，多为80年末90年初的房子
双山新苑的小区户型,小区共9栋楼 部分带阁楼 全部小砖房 楼间距30米 主力户型50平米左右大一室 74平米两室
双山新苑的不足之处,小区绿化率低 物业稍差一些
双山新苑的附近学校,小区属于三水道小学片 三水道学片为重点小学片
双山里的轨道交通,地铁1号线华山里站，门口有693.631.686.97等多条公交车路线
双山里的附近学校,双山里小学属于陵水道小学片，初中是摇号入学，附近有微山路中学，十三中，枫林路中学等
双山里的不足之处,房龄比较老，停车位紧张
双街新家园的小区户型,两室 90平米 82平米 三室 104平米 砖楼1号楼到44号楼 高层53到55号 楼间距大 采光好
双街新家园的房屋品质,2003年1月1日交房，砖房物业费0.35-0.5元
双街新家园的轨道交通,门口100米有公交725  810  961等公交车 有京津公路 地铁站4号线  8公里到北辰医院
双街新家园的居民素质,居住人群白领居多，买房落户改善，居民整体素质高，邻里关系和睦！
双街新家园的小区户型,小区户型主要以一室和两室为主，两室88平，通透户型，楼间距40米左右，小区以6层转楼为主
双街新家园的生活配套,小区北侧就是模范小学，南侧就是初中92中
双街新家园的小区户型,51-52号楼是11楼到顶，53-55号楼18层到顶。1-31号楼为白色墙，32-45号楼是红颜色的
双街新家园的不足之处,小区入住率比较高，小区车位比较紧张，全部地上停车
双街新家园的不足之处,车位不足，地势低，雨季积水
双街新家园的不足之处,车位紧张 都是地上小区楼多
双街新家园的轨道交通,门口就是961、812、810、610公交站
双街新家园的小区设施,小区中心有主景观花园，及健身器材
双街新家园的生活配套,小区200米附近有一个永辉超市和尚河城商场，电影院健身房应有尽有，出小区门口就是公交站，小区对面就是
双街新家园的小区设施,小区中心配有花园，可供社区居民休闲娱乐 车位为地上车位
双青新家园荣康园的小区户型,小区都是高层 户型以61平一室和74-85平的两室为主 2T4和2T5户
双青新家园荣康园的生活配套,小区西门有自持的商业 饭店和超市因有尽有
双青新家园荣康园的轨道交通,小区东门出来100内就是荣康园公交站 732路 735路 742路可直达西横堤地铁站乐天玛特购物中心
双青新家园荣康园的不足之处,没有大户型 不适合改善
双青新家园荣康园的小区设施,小区内部设有小花园和凉亭 还有运动器材 小孩滑梯等
双青新家园荣翔园的附近学校,荣翔园紧邻双清第三幼儿园，西南方向是双青中小学预计今年招生，距离小区门口仅不到200米，校区环境优美
双青新家园荣翔园的小区设施,小区设置有公共活动中心，各种健身器材。篮球场，分类式垃圾桶。电动车充电桩。供热站
双青新家园荣翔园的不足之处,小区整体位置偏远。现有公交车还未直达小区门口，交通不太方便
双青新家园荣翔园的小区户型,荣翔园共有18栋楼.分两梯四户和两梯六户，其中两梯六户的有6栋，两梯四户的有12栋，大高层28层到顶
可园里的不足之处,小区车位紧张 没有物业
可园里的轨道交通,步行50米津谊桥站 快速1路  步行150米 紫金公寓站 有868路 953路等 临快速路 出行便利
可园里的生活配套,步行150米 谊路菜市场 大润发超市 新业广场 小区周边有 餐饮 超市 银行 水果店 娱乐场所
合生君景湾的不足之处,"小区不足就是两栋楼离得比较近，采光差一点
合生君景湾,附近学校,小区南行1.2公里是天津滨海实验学校，属于公办学校。"
合生君景湾的生活配套,小区对面500米就是永旺商业广场，一共三层。是开发区五街的主要配套商业。
合生君景湾的小区户型,"小区共有2栋楼，6梯23户
吉庆里,不足之处,小区的停车位比较紧张，小区比较老旧
吉庆里,附近学校,向阳三小出门200米即可到达
吉庆里,其他描述,民水民电，小区卫生环境好，物业费廉价
吉庆里,其他描述,民水民电 小区环境比较好 物业费比较低
吉庆里,小区户型,小区一共17栋 主要就是小户型 两居室南北通透 楼间距大
吉祥里,附近学校,小区对应划片的是塘沽一中心小学，是塘沽的重点小学之一，中学为1256中学摇号上学，为天津市重点学校。
吉祥里,不足之处,小区属于老旧小区，车位比较紧张
吉祥里,小区户型,小区一共14栋，以40平米为一室，60平米两室的小户型为主，13栋，14栋是100平米的大户型。
吉祥里,生活配套,距离小区500米就是塘沽的金元宝购物商厦，乐购超市，学校大街菜市场，天碱医院。
同发里(和平),小区设施,小区内有个长约50米小型菜市场，为小区居民日常生活提供许多便利
同发里(和平),生活配套,配备宜昌菜市场 步行只需100米 同时配备华润万家 津工超市 乐购超市的基础配备 购物方便。
同发里(和平),不足之处,该小区为2000年左右的回迁房，房龄较长，同时无电梯，物业仅为卫生清扫无车位规划  车位紧张
同发里(和平),小区户型,户型一室为36㎡ 两室为60-70㎡ 三室为90㎡ 楼间距为50米左右 采光互不影响
同发里(和平),轨道交通,近邻地铁3号线西康路站和吴家窑站 步行500米之内可达，同时出门有908等20多条公交线路
同庆后大楼,不足之处,小区建筑年代1985年，房龄偏长，没有固定物业管理，卫生环境稍差。
同庆后大楼,小区户型,小区成交热门户型有32平米阳面和北面一室，56平米东西通透和东北向两室。
同庆后大楼,生活配套,小区东侧是新建设完工的万全小学新校区，教学硬件条件提高，50米处有裕德里社区卫生服务站，方便就医。
同庆后大楼,小区设施,本小区有一个古色古香的小公园"
同庆后大楼的轨道交通,距小区70米左右有二号线地铁东南角站，距小区152米左右有百货大楼站，出行方便。
同庆后大楼的附近学校,对应万全小学，师资力量雄厚、教育设施齐全，对应和平一片中学，耀华、汇文、二南开、十九中。
同江里的居民素质,小区多以老人带孩子的居民为主，租户少，邻里关系和谐
同江里的小区户型,小区多为砖混建筑，主机户型分别为55平米左右南北通透两室和50平米全阳面的两室
同江里的不足之处,小区老旧，物业管理形同虚设
同江里的附近学校,小区对应小学为天津市河西区三水道小学，小学历史悠久，师资力量雄厚，学生家长普遍反映作业量繁重
同江里的房屋品质,小区于1988年由天津河西区建设开发总公司施工建筑，建筑质量过关，抗震性能强
向荣里的不足之处,老旧小区 车位较少 绿化少
向荣里的轨道交通,小区200米公交站 908  47 48 656等10多趟公交
向荣里的附近学校,上海道小学片 河西重点300米佟楼中学
向荣里的小区设施,小区绿化好 停车位1：1周边配套齐全
君临大厦的房屋品质,由天津星际房地产开发有限公司建造，2010年统一精装修交房，统一装双层真空玻璃，能有效隔绝噪音。
君临大厦的其他描述,天津城区核心的区域，海河沿线，毗邻滨江道。天房物业。2.9元没平米，待人礼貌服务好。出入小区有门禁。
君临大厦的小区户型,均为12梯40户均为落地窗，力推大户型180平米三室两卫为主力户型，240平米四室两卫，适合改善需求
君临大厦的轨道交通,距建国道地铁站160米，可在此乘坐2号线建国道站，经一站可到天津站便可在导3号线9号线，或乘坐火车。
君临大厦的不足之处,君临天下，全楼12部电梯2000多户车位300多处，车位紧张停车不方便。出租占比50%以上办公居住均有。
君利商厦的生活配套,往南100米是中信友谊广场，南200米是华润万家超市方便您的购物，南300米是东方之珠，方便您的聚会
君利商厦的轨道交通,往西50米临近京津公路，旁边有607，611，752公交
君利商厦的不足之处,小区没有设施供居民锻炼身体和休闲娱乐，毕竟是公寓项目，没能考虑到此点，
君利商厦的附近学校,可上杨村四小，设施完善，教育质量好，上杨村二中师资力量雄厚
君利商厦的小区户型,小户型开间38平43平公寓酒店式住宅
君利商厦的房屋品质,2010年，产权公寓，开发商君利集团，板楼建筑，7层12层到顶
君悦花苑的轨道交通,小区东西门各有一个公交站707/312.均可到南站换乘3号线，火车站，高铁，高铁到北京很方便
君悦花苑的生活配套,小区内有幼儿园目送式教育，小区北侧一路之隔是中心公园散步慢跑篮球场馆等等设施齐全，到社会山广场五百米
君悦花苑的不足之处,小区入住率逐渐上升，好多业主在装修，所以装修垃圾相对较多，车位紧张
君悦花苑的小区户型,小区一梯两户，南北通透，高层95平两室，洋房95.99-136三室两厅一卫，三室两厅两卫，宜居
君悦花苑的房屋品质,君悦大开发商开发，交房后，没有漏水等现象出现.窗户也采用三层真空玻璃，隔音效果好
君悦花苑的小区设施,小区中心位置有800平绿地，周边有儿童娱乐设施，适合邻居交友玩耍。
君景广场的不足之处,自持物业，物业松散，
君景广场的小区设施,"小区共1294个车位其中地下停车位500个,满足业主停车需求。12个门每个门都有会客大厅方便会客！！"
君景广场的小区户型,小区共两栋楼，每栋一个门，是三梯23户，两栋户型都一样。90平米三室和60平米的一室，4层是精装交房
君景广场的生活配套,"小区南走2公里左右是永旺大型商场,提供衣食住行各类生活用品,南行2公里左右泰达公立医院为健康保驾"
君景广场的附近学校,小区东南5公里左右是天津滨海实验小学和中学(公办)，小区南行4公里左右枫叶国际学校12年制（私立）。
听涛苑的生活配套,小区西面30米有大型的超市和封闭菜市场，小区底商有饭店，网吧。
听涛苑的不足之处,小区位于滨海新区的南面，目前只有一条公路可以到达，只有一条公交线路822，出行不太方便
听涛苑的附近学校,小区南面20米是东方剑桥幼儿园，小区2公里。草场街小学，和初中。小学已在招生使用，
启航嘉园的不足之处,属于老旧小区，车位紧张
启航嘉园的轨道交通,西侧2km处是九号线太湖路地铁站，可以在天津站下车直达市区
启航嘉园的小区户型,小区主推65平小户型。主要为24、25、30层的高层，户型为85、90平两居，121、144平三居
和平翰林公馆的小区户型,项目整体分为两栋住宅，主力户型46·61·73·86·106·108，分别46层到顶和62层到顶
和平翰林公馆的轨道交通,小区南侧就是营口道站，有1号线，还有3.4号线，200多米有滨江道公交站632号路观光2路
和平翰林公馆的房屋品质,翰林公馆由天津现代集团开发，18年8月10号开盘精装交房，22年2月份交房！
和平翰林公馆的不足之处,采用国际五大行之一的高力国际物业，物业费6.5元，费用高，不过小区品质很有保障  车位紧张
和平翰林公馆的小区设施,空中花园，地下直接到达地铁站营口道
和平翰林公馆的小区设施,小区1号楼号2号楼之间有一处1.5万万平米左右的空中花园，花园内配有凉亭，健身设施等，人车分流
和平翰林公馆的生活配套,翰林公馆西侧50米就是滨江道商业街，包含数百种小吃，密室逃脱，狼人杀等棋牌游戏等各种休闲场所
和平翰林公馆的生活配套,项目距离乐宾百货100米，距离大悦城100米，属市核心地段，配套齐全
和平翰林公馆的轨道交通,出门右转500米地铁3号线和平路C口，可到天津站2站可到营口道滨江道商业中心。
和平翰林公馆的不足之处,物业费为6.5元 楼下有接待，环境管理都非常好。
和平翰林公馆的小区户型,小区为13梯19户，主推61平户型，88平，115平两室一厅，翰林公馆有两栋，一栋62层到顶，
和平里南区(武清)的小区户型,楼房为6层到顶步梯，一层为储藏室。户型有72-140平的一室一厅到三室两厅，楼间距适当，采光充足。
和平里南区(武清)的轨道交通,距离200米轻轨9号线到市里天津站更换1/2/3/5号线，到轻轨终点站东海路只需4站可到达。
和平里南区(武清)的生活配套,从小区出门600米就到海达家乐超市，而且小区内有自己的配套商业，样式齐全，物美价廉。
和平里南区(武清)的小区设施,小区设施有乒乓球台，孩子的有乐趣，老人的健身区，供小区业主乘凉的凉亭
和平里南区(武清)的不足之处,小区楼房楼龄高，晚上车位不些不足。
和旭园的小区户型,本小区主力户型59全阳一室83通透两室-89全阳两居，户型格局方正 20层到顶 2梯5户
和旭园的其他描述,小区环境好，保安物业都非常好
和旭园的不足之处,本小区目前周边项目都是在建，如果都交房了未来会是个不错的选择
和旭园的生活配套,距离西门500米有高铁西站，距离小区1000米有吾悦广场、红星美凯龙、奥特莱斯等配套。出行购物方便。
和瑞园的小区户型,是一共16栋楼，其中有8栋高层和8栋小砖楼，有53平米的1室和56平米1室，有69平米的2室
和瑞园的小区户型,小区主要以55平49平一室，64平69平2室为主，也有79平和71平2室，高层8栋，多层8栋。
和瑞园的生活配套,生活配套齐全，距离杨楼菜市场700米，大津城商场200米，四六四医院和中医附属医院，各类银行，
和瑞园的附近学校,附近小学：周边王兰庄小学.师资力量雄厚 有富力小学.私立终点学校.华夏之星.阳光幼儿园
和瑞园的轨道交通,门口500米是地铁10号线在修建和800米处是地铁5号线凌宾路站已经开通，
和瑞园的小区设施,小区4号楼和5号楼之间 10号楼跟12号楼之间分别有花园 跟健身器材
和瑞园的轨道交通,门口有953，9，712路，地铁5号线和6号线，在建地铁10号线距小区200米，紧邻外环路和津涞公路
和瑞园的不足之处,车位紧张，成熟社区，居住人群多，小区内车位紧张，不过可以停车到小区外的停车场一月100元，或者公路边的停车位里。
和瑞园的生活配套,小区自带商业街 超市 药房 餐饮 生活配套齐全 紧邻奥城商业广场 休闲娱乐购物一体俱全
和瑞园的不足之处,小区环境不是挺好，物业不是很好，
和瑞园的轨道交通,门口500米是地铁10号线在修建和800米处是地铁5号线凌宾路站已经开通， 公交有9路，712路等
和睦园的居民素质,小区多为下岗职工，租户与住户比1：3，多为老年人，邻里关系相处融洽。
和睦园的生活配套,向西500米左右为师大附属学校，西侧50米为菜市场，华润万家超市，小区内配有绿化区域和健身区等
和睦园的不足之处,小区环境保持不是特别好，是还迁房；车位不足，造成车辆乱停乱放现象，目前物业正在调整解决小区环境问题，还有待改进并且开通地下车库正常使用。
和睦园的不足之处,车位比较紧张，人流量大
和睦园的生活配套,小区西门50米就是好润家超市，一楼就是菜市场，五金店，早上市场门口就有早点，晚上是海鲜市场
和睦园的不足之处,物业正在整改中，居住人群较多
和睦园的小区户型,小区共有12栋，从1栋到12栋，都是高层，分为两梯六户和三梯八户，面积多为两室小户型
和睦园的小区户型,主要是45-55平米一室，66平米、81平米两室，91平米三室
和睦园的小区户型,小区小户型居多，50-90平，楼间距较大，视野采光好，28-32层到顶，两梯五户或三梯六户
和睦园的生活配套,小区西门50米好润家超市，一楼是菜市场，早上有早点，晚上为海鲜市场和晚市，购物方便。
和睦园的附近学校,小区内部设有国办幼儿园——西沽幼儿园，小区西200米是天津师大附属小学，学校环境优雅，师资力量雄厚。
和苑梦和园的居民素质,本小区租住比40%左右，租户较多，好多都是拆迁户，房本下来以后就都卖了。
和苑梦和园的不足之处,没有地下停车位，造成地上车位费昂贵，造成大多业主都把车停在小区外边。
和苑梦和园的轨道交通,距营浮路公交站300米，有3条公交线路经过，乘站坐367路经过10站可到勤俭道，13站可到洪湖里。
和苑梦和园的房屋品质,小区为00年代的动迁房，外墙经历过1次大型物业粉刷，外立面看起来很新，没有任何墙皮脱落现象。
和苑梦和园的小区户型,小区均为两梯五户，三梯六户，主推中小户型，69平米和83平米两房一卫，适合改善需求。
和谐园的小区户型,小区主力户型为66平全阳两室一厅，主推小户型45平、66平、67平、86平
和谐园的轨道交通,小区出门步行500米就是和谐园公交站牌  617可转开发区线路，可直达塘沽外滩  627到达新港
和谐园的不足之处,地上车位不足，停车混乱，有待物业调整开通地下车位。
和谐园的附近学校,小区内部设有国办幼儿园，西沽幼儿园，离小区50米小区西200米小学天津附属学校
和谐园的居民素质,小区多为下岗职工，租户跟住户比是1:3，多为老年人。邻里关系相处融洽。
和谐园的生活配套,小区配套齐全，50米就是封闭菜市场，北侧500米海河绿化观景带。北边1300米大型响螺湾医院。
咸阳北里的小区设施,小区18号楼和8号楼中间是花园，老人和孩子可以在此休息玩耍，17号楼前面是非机动车停车棚，
咸阳北里的轨道交通,小区门口有多路公交路线，距离地铁站有1000米，
咸阳北里的不足之处,小区房龄较老，没有大面积户型
咸阳北里的房屋品质,南开建发开发商，3-5年就有一次小区改造，隔几年就有防潮改造，小区有保温层，房子是尖顶，
咸阳北里的生活配套,小区500米有菜市场，蛋糕店，大桥道，2千米内有人人乐超市，熙悦汇购物商场，
咸阳北里的小区户型,咸阳北里小区一共有19栋楼，8号楼和18号楼中间是主要户型有南北通透的54平米两室，32平米的一室
哈兰庄园的附近学校,对口雍阳中学，公立百年名校，市排名前十，师资力量雄厚，学制不划片需考试，学生反馈作业量较大。
哈兰庄园的其他描述,物业服务很好，绿化和小区环境维持的很好，物业费2.2元/平
哈兰庄园的不足之处,车位比较紧张，地上临时停车位不是很充足
哈兰庄园的小区户型,小区高层均为两梯四户，主做三居89平米主力户型，三室两厅一卫，南北通透，适合改善需求。
唐口新村六段的小区设施,小区内19号楼旁边有健身的器材，游乐设施，车位的话楼底下基本都能停车，11号楼有便利店，
唐口新村六段的附近学校,对口的小学缘诚小学，是河东区重点，公立学校与民航大学合办师资力量雄厚，对口的中学七中 二十八三十二中
唐口新村六段的不足之处,小区是90年的社区，房子较老，绿化率不太高，户型较小，适合刚需落户，上学等，改善的话没有大户型.
唐口新村六段的小区户型,唐口六段31平米的一室，58平米刀把偏，一梯4户 ，6层到顶的砖房，楼间距15米左右，采光好
唐口新村六段的生活配套,1000米内 有三大购物商场 万达广场 爱琴海商场  未来广场 家乐福 华润万家等商业，
唐口新村六段的轨道交通,地铁5号线连接2.3.6.9号线方便换乘，站口成林道站，距离房子500米，
商苑教师公寓的轨道交通,小区门口20米为幸福里公交车站 有634 631  850  856 公交车路过
商苑教师公寓的不足之处,小区一二号楼为1990年建设 楼龄时间比较长
商苑教师公寓的生活配套,小区1000米为中环线 欧亚达商城 华润万家大超市 2000米左右是红桥区人民医院
商苑教师公寓的小区设施,小区内部有老人运动场所 车位1:1
商苑教师公寓的小区户型,小区一共8栋楼 全为6层到顶小砖房 楼间距30米以上 面积从35㎡-108㎡ 一室两室 三室
善和园的附近学校,小区门口就是公立幼儿园，距离500米是双港新家园小学
善和园的房屋品质,小区属于还迁房，房本2018年登记，2019年下本，小区物业不错天天打扫，园区绿化都还不错
善和园的其他描述,物业是仁和自持物业，管理好，物业费1.2元/㎡
善和园的小区户型,小区均为两梯四户，18楼到顶，主推全明一室户型，全阳采光好，楼间距40米，总房款底
善和园的不足之处,小区坐落位置稍微偏僻些，公交出行不太方便
喜凤花园的不足之处,小区整体不足，只在于停车位没有固定，采取谁停是谁的方法，然后就是物业是个人承包，比不了大物业公司
喜凤花园的生活配套,小区内有喜凤菜市场，周边有大型特美易购商超，集购物餐饮一体，绿地缤纷城正在建设当中
喜凤花园的小区户型,小区多数为洋房建设，H户型，分为一期和二期，其中包含五栋小高层和大高层，有部分别墅，分为连体和独栋
嘉畅园的轨道交通,距离地铁6号线金钟河大街站800米，距离地铁五号线建昌道站步行700米。
嘉畅园的小区户型,本小区是13年的限价房 共13栋楼 10栋高层 3栋砖楼 一室面积50-62平米 两室76-79平米
嘉畅园的附近学校,出大门右转，200米是河北区第九幼儿园，方便接送孩子，距离近。
嘉畅园的轨道交通,出小区30米869公交站 1公里左右到达地铁5号线，6号线交汇站金钟河大街站I口
嘉畅园的不足之处,小区户型较小，一个单元门住户较多，一个电梯，上下楼集中时间段可能需要费些时间。
嘉畅园的附近学校,出小区50米是河北区第十九幼儿园（公立幼儿园） 第二实验小学（公立）
嘉畅园的不足之处,车位比较紧张 租户多
嘉畅园的生活配套,周边一公里有铁建广场，800米桥园里菜市场，600米万福隆生活超市。
嘉陵北里的小区设施,小区内有占地大概200㎡绿地，其中有枣树和石榴树，均已长成，小区每栋楼前有6-8个机动车公共停车位。
嘉陵北里的生活配套,小区从南门出门向右转30米即可到达嘉陵南里公交总站，或从北门开车左转即可到达密云路快速路以及熙悦汇。
嘉陵北里的不足之处,此小区由于建筑年代过长，外观比较老旧，小区内存在车辆乱停乱放想象。9号楼为东西向户型，存在采光不足。
嘉陵北里的房屋品质,小区为天津市南开区建设开发公司开发，建筑年代为1982年。交房操作为毛坯，为板塔结合式5层到顶建筑。
嘉陵北里的小区户型,小区均为一梯三户，南北通透，主推两室一厅一卫55平米主力户型，适合外地落户上学并且陪读使用。
嘉陵北里的轨道交通,距离嘉陵南里公交总站30米，此站可乘坐711、713、842、678路公交车，可到达滨江道，机场。
四信公寓的不足之处,地上停车较为混乱，公寓北面为快速路，较为嘈杂
四信公寓的生活配套,下楼50-100米有旺福乐超市，一楼生鲜，二楼日用，向东200米有四信菜市场，满足日常生活购物需求
四信公寓的其他描述,小区为中海自持物业，物业费为3.6一平一个月，保安24小时值班，物业基本随叫随到
四信公寓的轨道交通,距一号线陈塘庄地铁站直线距离600米，洞庭路上也有公交站，未来11号线也会经过四信公寓，出行交通极为
四信公寓的小区户型,小区为一梯两户，两室南北通透为主要户型，楼间距大，采光无遮挡，居住环境适宜
四信公寓的房屋品质,四信公寓为央企中海开发，17年底交房，有精装交房和毛坯交房，中央空调＋地采暖
四季风情的轨道交通,交通便利，小区西侧100米880公交终点站
四季风情的不足之处,交通不够便利，只有一趟公交
四季风情的附近学校,博才小学对应1256中
四季风情的小区设施,设施非常齐全，有球场健身器材，凉亭
四季风情的小区户型,四季风情共48栋，共4718户，户型以95平米两室和120平米三室为主。
四季风情的生活配套,附近有大型菜市场新河高新里菜市场，港通医院直线距离100米
四达里的不足之处,小区都是公产或企业产，无法买产权，当然也不限购不限贷
四达里的轨道交通,距地铁3号线西康路站步行100米，公交站点有规划局站，距此50米，
四达里的附近学校,小区属于原设计里居委会，是昆明路小学片，和平区重点小学，此校为百年历史名校，师资雄厚
四达里的小区设施,小区楼前有20米长的自行车棚，小区门口有部分健身器材
四达里的小区户型,一室为直门独计租24平左右 两室多为南北通透 面积在计租39平
团结东里(河东)的小区户型,41-72平米阳面田字格.中独. 中独是明厅好用 田字格厅不好用 厅带卫 厅不好用 南北向 两室通透
团结东里(河东)的生活配套,小区西门有肯德基，100米有大润发，周边有工行，农行，农商，距离河东万达1.8公里
团结东里(河东)的轨道交通,距轻轨9号线中山门站800米、小区入口有642、643公交线
团结东里(河东)的不足之处,小区没有固定的车位 部分房子带角 楼间距近  车位紧张
团结里(大港)的生活配套,出小区南门，向南步行50米，即步行街，有迪美超市，滨城商场；
团结里(大港)的轨道交通,出小区南门，向西步行150米，即652路，130路公交车总站
团结里(大港)的附近学校,出小区西门，步行50米，即油田实验中学，油田一中，国办重点中学，高中，师资力量雄厚，教学质量高。
团结里(大港)的不足之处,靠近学校，交通比较拥堵
园荫里的不足之处,此小区为老小区，物业只有做卫生人员。现在只有地上车位，小区车位紧张。小区内没有便民运动器械。
园荫里的生活配套,小区50米处有南苑公园，楼下30米有菜市场。
园荫里的附近学校,南开新星小学，距离南开日新国际学校800米，重点天津中学，天津第九中学。
园荫里的小区户型,园荫里小区主力户型1居21㎡-55㎡，2居41㎡-74㎡。
国宜北里的轨道交通,距换乘站张兴庄地铁站（D口）步行1.8公里（3号线，5号线）。
国宜北里的不足之处,因小区较为老旧，所以车位比较紧张。
国宜北里的小区户型,本小区，国宜北里75平米，两室夹厅户型，中低楼层比较好卖。
国耀上河城的小区设施,19号楼前面有一个下沉式公园，周围有健身器材，儿童游乐场，还有封闭式篮球场
国耀上河城的不足之处,地上停车位少，好多车都停在路边
国耀上河城的轨道交通,小区东侧有610、810两路公交车，距离京津公路也很近，出行公交有961、611、812、等
国耀上河城的生活配套,小区的东侧是国耀尚河城购物广场，吃喝娱乐一站式，小区周边也还有很多商业餐饮，超市等满足生活所需
国耀上河城的小区户型,国耀主要以高层为主，户型主要以两室跟三室，两室一般是全阳的户型，三室是通透的，小区没有阳台
国际城百合花苑的不足之处,小区年头长，道路坑坑洼洼，雨天容易存水，住户多停车位少绿化不太好。
国际城百合花苑的附近学校,周边附近有幼儿园、小学、初中和高中，其中高中是武清区区重点高中，师资力量雄厚教学质量高。
国际城百合花苑的小区户型,国际城百合花苑都是板楼，楼间距大采光好。经典两居室一层送花园六层送阁楼。
国际城百合花苑的其他描述,物业管理是驿城物业，物业费0.4元一平米，物业管理差。
国际城百合花苑的小区设施,北门入口处有500㎡花园和健身广场有儿童滑梯跷跷板等娱乐设施和健身设施，早上傍晚有不少人健身休闲娱乐
地丰里的不足之处,小区相对于周边其他小区建筑年代比较久，没有电梯上下不方便，小区全部地上停车位相比较来说安全性比较低，后身是张家窝繁华地段相对来说比较嘈杂，人员流动性大，小区绿化较少，绿植比较普通。
地丰里的生活配套,小区出门左拐200米有玉台路小吃街，华联超市，董庄子菜市场，满足生活基本需求。
地丰里的房屋品质,小区2008年开盘动工，2010年交房入住，楼栋结构是砖混结构加保温吸声层隔音好，双层防水设施防潮好
地丰里的小区户型,小区均为一梯两户，南北通透，主营120平米三室两厅两卫大户型，140平米四室双卫适合改善型居住！
地华里的附近学校,对口南开区重点小学-华苑小学，小孩儿可就读地华里幼儿园和天津中学
